2020-07-16 12:04:43.103 [main] INFO  com.example.druid.DruidApplication - Starting DruidApplication on LAPTOP-RH8VGJ5V with PID 5356 (C:\Users\long\Downloads\y_project-RuoYi-master\druid\target\classes started by long in C:\Users\long\Downloads\y_project-RuoYi-master\druid)
2020-07-16 12:04:43.107 [main] INFO  com.example.druid.DruidApplication - No active profile set, falling back to default profiles: default
2020-07-16 12:04:44.224 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration' of type [com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-16 12:04:44.632 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-16 12:04:44.641 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-16 12:04:44.642 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-16 12:04:44.642 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-16 12:04:44.715 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-16 12:04:44.715 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1530 ms
2020-07-16 12:04:44.796 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-16 12:04:45.347 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-16 12:04:45.646 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-16 12:04:45.904 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-16 12:04:45.932 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-16 12:04:45.944 [main] INFO  com.example.druid.DruidApplication - Started DruidApplication in 3.481 seconds (JVM running for 4.516)
2020-07-16 12:05:27.144 [main] INFO  com.example.druid.DruidApplication - Starting DruidApplication on LAPTOP-RH8VGJ5V with PID 12344 (C:\Users\long\Downloads\y_project-RuoYi-master\druid\target\classes started by long in C:\Users\long\Downloads\y_project-RuoYi-master\druid)
2020-07-16 12:05:27.147 [main] INFO  com.example.druid.DruidApplication - No active profile set, falling back to default profiles: default
2020-07-16 12:05:28.243 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration' of type [com.alibaba.druid.spring.boot.autoconfigure.stat.DruidSpringAopConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-07-16 12:05:28.610 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-16 12:05:28.620 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-16 12:05:28.621 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-16 12:05:28.621 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-16 12:05:28.697 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-16 12:05:28.698 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1480 ms
2020-07-16 12:05:28.799 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-07-16 12:05:29.410 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-16 12:05:29.661 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-16 12:05:29.890 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-16 12:05:29.924 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-07-16 12:05:29.946 [main] INFO  com.example.druid.DruidApplication - Started DruidApplication in 3.388 seconds (JVM running for 4.528)
